open,high,low,close,volume
100.6117,100.846,100.1675,100.5067,88931
100.4631,100.5305,100.2251,100.3778,93095
100.7541,101.3367,100.7393,101.038,19283
102.7653,102.6421,102.5317,102.5869,99294
101.8994,102.9556,101.7584,102.357,98219
101.9271,102.5131,101.742,102.1275,51118
103.1283,104.251,103.2502,103.7506,93618
105.0461,104.948,104.1663,104.5572,26089
104.0045,104.5006,103.6529,104.0767,37342
105.3321,105.0611,104.2425,104.6518,94227
104.4283,104.6383,103.7164,104.1773,1040
103.842,104.1283,103.2769,103.7026,40749
103.781,104.6217,103.3059,103.9638,50414
101.665,102.2181,101.7521,101.9851,65172
100.3934,100.6477,99.8247,100.2362,42992
99.6612,99.7033,99.6618,99.6826,35587
98.2864,99.2198,98.1461,98.6829,81894
98.5524,99.2321,98.7737,99.0029,50279
97.8316,98.4712,97.7564,98.1138,85498
97.2664,97.6352,95.8407,96.738,97195
98.8173,98.9379,97.3931,98.1655,32363
98.0139,98.2557,97.6516,97.9537,13812
98.0734,98.7101,97.3491,98.0296,88771
96.5452,96.6751,96.6103,96.6427,82912
95.8568,96.509,95.7436,96.1263,30428
96.6396,96.9814,95.5037,96.2425,25321
95.6792,95.2672,95.0217,95.1444,10085
95.2554,95.639,95.3838,95.5114,69342
94.9237,95.7996,94.0949,94.9473,24460
94.552,94.7214,94.6382,94.6798,39455
94.0009,94.5313,93.7079,94.1196,61157
96.2134,96.3452,95.3995,95.8723,96795
95.4917,96.1212,95.6168,95.869,58078
94.9973,95.1352,94.5939,94.8646,51939
95.8633,96.6428,94.6659,95.6543,87652
94.4558,94.7437,94.2485,94.4961,11440
94.9567,94.8551,94.5508,94.7029,44368
92.8977,93.013,92.7001,92.8565,50131
91.9671,91.9418,91.3232,91.6325,3179
91.4028,92.8149,90.8292,91.8221,6665
92.4125,92.5711,92.4476,92.5093,4390
92.6571,92.7855,92.5688,92.6771,9359
91.837,92.7088,92.4496,92.5792,92173
92.009,92.3719,92.2475,92.3097,75600
90.7321,91.3683,90.54,90.9541,2781
90.5654,90.3686,90.2484,90.3085,56018
89.7109,90.1269,89.6761,89.9015,73619
90.6379,90.9657,90.756,90.8609,26972
91.4058,91.4109,90.9534,91.1822,91743
89.1489,89.8006,89.3668,89.5837,18985
89.3245,90.7689,88.9971,89.883,85801
89.4487,89.8643,89.2274,89.5459,59794
88.5624,89.2842,88.6132,88.9487,57485
89.1231,90.0496,88.9537,89.5016,66013
90.5889,90.9856,89.8811,90.4333,73778
91.5245,91.5014,91.0678,91.2846,98925
90.7419,90.6389,90.4163,90.5276,78064
90.557,91.0977,89.4158,90.2568,41621
90.902,90.8038,90.3258,90.5648,50394
90.8733,92.1771,90.7375,91.4573,60992
91.1512,91.0981,90.9583,91.0282,73441
90.724,90.9876,90.7491,90.8683,71174
89.6706,90.3149,89.4293,89.8721,54797
88.9554,89.6969,87.9152,88.806,58746
89.0717,90.2188,88.8542,89.5365,32369
90.283,90.786,90.7335,90.7598,51605
90.8759,90.8417,90.5653,90.7035,26572
91.7569,91.8397,91.4059,91.6228,37939
92.001,92.0712,91.8555,91.9633,23866
91.138,91.5555,91.203,91.3792,57060
91.9233,91.9391,91.4982,91.7186,22953
93.3285,93.6967,92.5802,93.1385,94262
93.1382,93.6083,92.6205,93.1144,48141
94.2466,94.8102,94.351,94.5806,4501
91.9948,92.5712,91.6534,92.1123,67722
93.112,93.0338,92.7234,92.8786,48018
93.3389,93.2971,92.6403,92.9687,65127
92.6092,93.2392,92.1609,92.7,56965
92.7249,92.9738,92.6149,92.7944,79152
90.9152,91.4792,90.4394,90.9593,60198
90.8434,91.6929,89.8443,90.7686,19288
90.943,91.7556,90.448,91.1018,93060
91.6545,92.5941,92.3205,92.4573,13225
92.3165,92.7708,91.2039,91.9874,95683
91.7442,91.5524,90.9533,91.2529,2752
90.6373,90.892,90.7163,90.8041,27313
91.3512,92.1287,91.1602,91.6444,88191
91.917,92.6458,91.264,91.9549,99841
91.4255,91.862,91.0919,91.4769,57734
92.2302,92.7087,91.2025,91.9556,19774
92.0691,92.2735,91.8346,92.0541,27365
92.7339,93.5245,92.3854,92.9549,75918
91.9465,93.5407,91.0826,92.3116,84415
92.2574,92.5088,91.528,92.0184,60531
91.8317,91.7236,91.61,91.6668,32972
90.6218,91.134,89.5348,90.3344,39984
90.3478,90.9475,90.2744,90.6109,21907
91.3576,91.0091,90.704,90.8565,4370
90.3949,91.0703,90.6702,90.8703,67795
90.8592,90.9578,90.3746,90.6662,6826
88.8799,90.0948,88.6892,89.392,54227
88.8138,89.1253,88.9245,89.0249,5695
89.1442,89.78,87.6774,88.7287,33864
88.2453,88.3625,87.689,88.0257,79301
87.7485,88.3217,87.4635,87.8926,62930
88.1191,88.5296,87.9834,88.2565,99241
89.9571,90.2114,89.6485,89.93,59663
90.2349,90.1497,90.0423,90.096,54653
90.6762,90.3755,90.2986,90.337,91826
90.1552,90.9356,89.6221,90.2788,85414
88.1274,88.9038,88.2074,88.5556,5043
88.5827,89.4731,87.6089,88.541,14586
88.4816,88.9388,88.2675,88.6032,71675
90.4403,90.8391,90.7499,90.7945,33630
90.7099,90.7696,90.4884,90.629,50736
90.8532,90.973,90.8496,90.9113,48530
90.9724,91.1111,90.6665,90.8888,3897
89.5947,90.0526,89.6188,89.8357,3030
91.0041,91.2479,90.4948,90.8714,82205
91.202,92.1252,91.0023,91.5638,83513
92.068,93.5488,91.0456,92.2972,15362
91.4004,91.7091,91.2251,91.4671,43636
93.2441,93.109,92.4097,92.7593,73135
91.6836,92.2721,90.6645,91.4683,33879
92.3116,92.154,91.8744,92.0142,94846
94.4387,94.1025,93.9753,94.0389,38238
94.1233,93.3533,92.8804,93.1169,80162
92.6104,93.9601,91.2376,92.5988,26420
93.0954,92.7835,92.6173,92.7004,4078
92.5232,92.8178,91.6681,92.2429,67919
91.0932,90.9839,90.6596,90.8218,40489
91.3769,91.4113,90.375,90.8931,4970
89.8235,90.3644,89.5089,89.9367,50513
90.2364,90.5084,90.2348,90.3716,71614
89.6356,90.0759,89.0236,89.5497,36579
90.8968,91.1844,90.7089,90.9466,52974
90.3296,90.8401,89.6467,90.2434,15006
90.3835,90.8784,89.0452,89.9618,59631
90.5725,91.2116,90.1936,90.7026,22279
89.5134,90.2433,88.9472,89.5953,80477
89.855,89.8974,89.7187,89.808,80160
90.9286,91.3674,90.6145,90.9909,91061
89.0232,89.8448,89.2299,89.5374,99795
89.5555,90.1242,89.299,89.7116,14715
90.1392,90.0669,89.8406,89.9537,48480
91.057,91.225,90.1071,90.666,42500
89.2434,90.1382,88.9689,89.5536,13607
88.0727,88.4551,88.305,88.38,48328
88.8582,89.7164,87.9839,88.8502,83375
88.568,89.3195,88.9263,89.1229,99954
89.2358,89.3722,89.338,89.3551,92424
89.2065,90.1009,89.2463,89.6736,54664
89.4386,89.3012,88.8442,89.0727,86529
89.0825,89.9926,88.5844,89.2885,42763
90.0032,89.5977,89.5206,89.5591,65266
89.2254,89.4562,88.4005,88.9283,59141
90.4208,91.145,90.0478,90.5964,37152
90.742,91.3461,90.7234,91.0348,38472
89.9071,90.2106,89.7081,89.9594,33393
90.5306,91.165,89.9529,90.559,60356
89.7785,90.432,88.9388,89.6854,44800
90.1896,90.4846,90.3159,90.4002,55879
91.6615,91.5982,91.3151,91.4567,66475
90.7874,90.7663,90.6642,90.7152,12254
